SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1014 N Larrabee St Unit 3N,Chicago,IL,60610,599900,3,2,River North,,,2015,1,,235,Active,November-13-2021 12:00 PM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1014-N-Larrabee-St-60610/unit-3N/home/144509969,MRED,11267762,N,Y,41.9009161,-87.6434099
MLS Listing,,Condo/Co-op,2515 W Augusta Blvd Unit 2N,Chicago,IL,60622,254999,2,1,Ukrainian Village,950,,,1,268,200,Active,,,http://www.redfin.com/IL/Chicago/2515-W-Augusta-Blvd-60622/unit-2N/home/18942867,MRED,11267758,N,Y,41.8991541,-87.6900933
MLS Listing,,Condo/Co-op,1415 N Dearborn St Unit 12A,Chicago,IL,60610,298000,2,2,CHI - Near North Side,1300,,1977,1,229,1180,Active,November-13-2021 11:00 AM,November-13-2021 01:30 PM,http://www.redfin.com/IL/Chicago/1415-N-Dearborn-St-60610/unit-12A/home/14114539,MRED,11267753,N,Y,41.908244,-87.629737
MLS Listing,,Condo/Co-op,2901 S Michigan Ave Unit 903-904,Chicago,IL,60616,112300,1,2,CHI - Douglas,1100,,1969,1,102,446,Active,,,http://www.redfin.com/IL/Chicago/2901-S-Michigan-Ave-60616/unit-903-904/home/177159323,MRED,11267737,N,Y,41.8416685,-87.6226075
MLS Listing,,Condo/Co-op,1530 S State St #721,Chicago,IL,60605,365000,2,2,Dearborn Tower,1370,,2001,1,266,614,Active,November-13-2021 12:30 PM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1530-S-State-St-60605/unit-721/home/12713765,MRED,11267736,N,Y,41.8612054,-87.6284311
MLS Listing,,Multi-Family (2-4 Unit),2422 W Winnemac Ave,Chicago,IL,60625,419900,6,3,CHI - Lincoln Square,,,1905,1,,,Active,,,http://www.redfin.com/IL/Chicago/2422-W-Winnemac-Ave-60625/home/13490585,MRED,11267723,N,Y,41.9732,-87.6900651
MLS Listing,,Single Family Residential,5341 W Ferdinand St,Chicago,IL,60644,129500,3,1.5,CHI - Austin,1720,4800,1899,1,75,,Active,,,http://www.redfin.com/IL/Chicago/5341-W-Ferdinand-St-60644/home/13265479,MRED,11267724,N,Y,41.8886989,-87.7595157
MLS Listing,,Multi-Family (2-4 Unit),7930 S Peoria St,Chicago,IL,60620,399000,6,2,CHI - Auburn Gresham,,3920,1910,1,,,Active,,,http://www.redfin.com/IL/Chicago/7930-S-Peoria-St-60620/unit-2/home/13906648,MRED,11267710,N,Y,41.749634,-87.6467636
MLS Listing,,Single Family Residential,1516 W 113th Pl,Chicago,IL,60643,189900,3,1.5,CHI - Morgan Park,,4486,1964,1,,,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1516-W-113th-Pl-60643/home/52646377,MRED,11267696,N,Y,41.687688,-87.660767
MLS Listing,,Townhouse,1001 W Marquette Rd #1,Chicago,IL,60621,20000,4,2,CHI - Englewood,1340,,1972,1,15,,Active,,,http://www.redfin.com/IL/Chicago/1001-W-Marquette-Rd-60621/unit-1/home/13932231,MRED,11267699,N,Y,41.7722001,-87.6496788
MLS Listing,,Townhouse,416 W Grant Pl Unit B,Chicago,IL,60614,899000,3,3,CHI - Lincoln Park,,,1988,1,,861,Active,,,http://www.redfin.com/IL/Chicago/416-W-Grant-Pl-60614/unit-B/home/13350018,MRED,11267686,N,Y,41.9230599,-87.6398442
MLS Listing,,Single Family Residential,3236 N Neenah Ave,Chicago,IL,60634,349700,5,2,CHI - Dunning,,3720,1925,1,,,Active,,,http://www.redfin.com/IL/Chicago/3236-N-Neenah-Ave-60634/home/13467131,MRED,11267691,N,Y,41.9393485,-87.7899941
MLS Listing,,Multi-Family (2-4 Unit),3125 W Palmer Sq,Chicago,IL,60647,1299000,9,4,CHI - Logan Square,,,1892,1,,,Active,,,http://www.redfin.com/IL/Chicago/3125-W-Palmer-Sq-60647/unit-1/home/13418347,MRED,11267677,N,Y,41.920466,-87.706292
MLS Listing,,Condo/Co-op,1943 N Mohawk St #2,Chicago,IL,60614,1250000,3,2.5,CHI - Lincoln Park,1900,,2021,1,658,,Active,,,http://www.redfin.com/IL/Chicago/1943-N-Mohawk-St-60614/unit-2/home/177158706,MRED,11267680,N,Y,41.9177473,-87.6421767
MLS Listing,,Condo/Co-op,1255 S State St #1901,Chicago,IL,60605,330000,2,1,Vision on State,900,,2007,1,367,628,Active,November-13-2021 11:00 AM,November-13-2021 12:30 PM,http://www.redfin.com/IL/Chicago/1255-S-State-St-60605/unit-1901/home/21784695,MRED,11267663,N,Y,41.8661707,-87.6267747
MLS Listing,,Condo/Co-op,260 E Chestnut St #1712,Chicago,IL,60611,330000,2,1,CHI - Near North Side,,,1965,1,,838,Active,,,http://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-1712/home/14119700,MRED,11267662,N,Y,41.8986644,-87.6196021
MLS Listing,,Condo/Co-op,1350 W Fullerton Ave #405,Chicago,IL,60614,315000,1,1,Altgeld Club,1049,,1993,1,300,428,Active,November-14-2021 01:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1350-W-Fullerton-Ave-60614/unit-405/home/12771097,MRED,11261303,N,Y,41.9254567,-87.6621903
MLS Listing,,Condo/Co-op,1201 S Prairie Ave #1206,Chicago,IL,60605,534900,2,2,The Grant,1207,,2008,1,443,590,Active,,,http://www.redfin.com/IL/Chicago/1201-S-Prairie-Ave-60605/unit-1206/home/21727686,MRED,11267658,N,Y,41.8671864,-87.6218681
MLS Listing,,Condo/Co-op,500 W Superior St #1411,Chicago,IL,60654,555000,2,2,CHI - Near North Side,1250,,1972,1,444,1062,Active,,,http://www.redfin.com/IL/Chicago/500-W-Superior-St-60654/unit-1411/home/18946192,MRED,11267657,N,Y,41.895951,-87.642196
MLS Listing,,Condo/Co-op,2139 W Roscoe St Unit 3W,Chicago,IL,60618,625000,3,2,CHI - North Center,,,2000,1,,321,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/2139-W-Roscoe-St-60618/unit-3W/home/12743303,MRED,11267651,N,Y,41.9429437,-87.682431
MLS Listing,,Condo/Co-op,6007 N Sheridan Rd Unit 8K,Chicago,IL,60660,259900,2,2,CHI - Edgewater,1646,,1969,1,158,713,Active,,,http://www.redfin.com/IL/Chicago/6007-N-Sheridan-Rd-60660/unit-8K/home/13411327,MRED,11263219,N,Y,41.9913121,-87.6547605
MLS Listing,,Townhouse,1549 W Asher St,Chicago,IL,60643,288000,4,2.5,CHI - West Pullman,1970,,2010,1,146,150,Active,,,http://www.redfin.com/IL/Chicago/1549-W-Asher-St-60643/unit-9-D/home/52635771,MRED,11267645,N,Y,41.6707183,-87.6606555
MLS Listing,,Condo/Co-op,260 E Chestnut St #804,Chicago,IL,60611,234900,1,1,Plaza on DeWitt,850,,1965,1,276,723,Active,,,http://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-804/home/14118846,MRED,11267647,N,Y,41.8986644,-87.6196021
MLS Listing,,Multi-Family (2-4 Unit),3434 W Potomac Ave,Chicago,IL,60651,500000,7,4.5,CHI - Humboldt Park,,,1914,1,,,Active,,,http://www.redfin.com/IL/Chicago/3434-W-Potomac-Ave-60651/home/13285225,MRED,11267646,N,Y,41.9048055,-87.7132784
MLS Listing,,Single Family Residential,2163 W Leland Ave,Chicago,IL,60625,750000,3,1.5,CHI - Lincoln Square,1642,2282,1891,1,457,,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/2163-W-Leland-Ave-60625/home/13391425,MRED,11267638,N,Y,41.9665972,-87.6832061
MLS Listing,,Condo/Co-op,2027 N California Ave Unit E2,Chicago,IL,60647,269000,1,1,Logan Square,,,1904,1,,224,Active,,,http://www.redfin.com/IL/Chicago/2027-N-California-Ave-60647/unit-E2/home/12593987,MRED,11264499,N,Y,41.9184611,-87.697038
MLS Listing,,Single Family Residential,7022 W 64th St,Chicago,IL,60638,560000,5,3.5,CHI - Clearing,3100,3659,1965,1,181,,Active,,,http://www.redfin.com/IL/Chicago/7022-W-64th-St-60638/home/13996878,MRED,11267624,N,Y,41.7758356,-87.796871
MLS Listing,,Single Family Residential,1242 N Damen Ave,Chicago,IL,60622,899900,3,3,CHI - West Town,2760,2657,1895,1,326,,Active,,,http://www.redfin.com/IL/Chicago/1242-N-Damen-Ave-60622/home/14107566,MRED,11267614,N,Y,41.904517,-87.6775489
MLS Listing,,Condo/Co-op,2430 N Lakeview Ave Unit 11-12N,Chicago,IL,60614,2400000,5,4.5,CHI - Lincoln Park,5600,,1927,1,429,11471,Active,,,http://www.redfin.com/IL/Chicago/2430-N-Lakeview-Ave-60614/unit-11-12N/home/49882143,MRED,11267610,N,Y,41.9264053,-87.6394718
MLS Listing,,Multi-Family (2-4 Unit),2102 W Roscoe St,Chicago,IL,60618,539000,6,3,CHI - North Center,,,1886,1,,,Active,,,http://www.redfin.com/IL/Chicago/2102-W-Roscoe-St-60618/unit-3/home/13385935,MRED,11267607,N,Y,41.943475,-87.681149
MLS Listing,,Condo/Co-op,345 W Fullerton Pkwy #2905,Chicago,IL,60614,450000,2,2,CHI - Lincoln Park,,,1972,1,,908,Active,,,http://www.redfin.com/IL/Chicago/345-W-Fullerton-Pkwy-60614/unit-2905/home/13350030,MRED,11177380,N,Y,41.9255129,-87.6385936
MLS Listing,,Multi-Family (2-4 Unit),3048 N Luna Ave,Chicago,IL,60641,379000,6,3,CHI - Belmont Cragin,,3484,1928,1,,,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/3048-N-Luna-Ave-60641/home/13442971,MRED,11267596,N,Y,41.9363968,-87.7654746
MLS Listing,,Single Family Residential,13138 S Vernon Ave,Chicago,IL,60827,80000,2,1.5,Golden Gates,1440,,1969,1,56,,Active,,,http://www.redfin.com/IL/Chicago/13138-S-Vernon-Ave-60827/home/13045311,MRED,11267594,N,Y,41.6565794,-87.611869
MLS Listing,,Single Family Residential,7244 W Everell Ave,Chicago,IL,60631,895000,5,3.5,CHI - Norwood Park,4000,4125,2020,1,224,,Active,,,http://www.redfin.com/IL/Chicago/7244-W-Everell-Ave-60631/home/13565397,MRED,11196895,N,Y,41.9928917,-87.8086247
MLS Listing,,Condo/Co-op,4061 N Sheridan Rd #3,Chicago,IL,60613,469900,3,2,CHI - Uptown,1609,,1906,1,292,361,Active,November-12-2021 05:00 PM,November-12-2021 06:30 PM,http://www.redfin.com/IL/Chicago/4061-N-Sheridan-Rd-60613/unit-3/home/13392139,MRED,11265933,N,Y,41.9562359,-87.654221
MLS Listing,,Single Family Residential,5514 S Kostner Ave,Chicago,IL,60629,250000,5,3,CHI - West Elsdon,1249,,1925,1,200,,Active,,,http://www.redfin.com/IL/Chicago/5514-S-Kostner-Ave-60629/home/14007370,MRED,11267568,N,Y,41.7925894,-87.7332569
MLS Listing,,Multi-Family (2-4 Unit),3110 N Oak Park Ave,Chicago,IL,60634,479000,5,3,CHI - Montclare,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/3110-N-Oak-Park-Ave-60634/home/13435835,MRED,11267570,N,Y,41.9367128,-87.7959491
MLS Listing,,Single Family Residential,5140 S Rutherford Ave,Chicago,IL,60638,599900,5,3.5,CHI - Garfield Ridge,2885,,1959,1,208,,Active,November-14-2021 12:00 PM,November-14-2021 02:00 PM,http://www.redfin.com/IL/Chicago/5140-S-Rutherford-Ave-60638/home/14029747,MRED,11267574,N,Y,41.7983528,-87.7908298
MLS Listing,,Condo/Co-op,2546 W Haddon Ave #1,Chicago,IL,60622,400000,2,2.5,CHI - West Town,,,2013,1,,240,Active,November-13-2021 01:30 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/2546-W-Haddon-Ave-60622/unit-1/home/113096007,MRED,11266396,N,Y,41.9022356,-87.6912973
MLS Listing,,Vacant Land,2816 W Van Buren St,Chicago,IL,60612,145000,,,CHI - East Garfield Park,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/2816-W-Van-Buren-St-60612/home/17557579,MRED,11267558,N,Y,41.87623,-87.696876
MLS Listing,,Condo/Co-op,2116 N Halsted St #2,Chicago,IL,60614,1075000,4,3.5,CHI - Lincoln Park,2700,,2008,1,398,200,Active,November-14-2021 12:00 PM,November-14-2021 01:30 PM,http://www.redfin.com/IL/Chicago/2116-N-Halsted-St-60614/unit-2/home/40376958,MRED,11267551,N,Y,41.9205285,-87.6488155
MLS Listing,,Condo/Co-op,30 W Oak St Unit 7A,Chicago,IL,60610,2349500,3,3.5,CHI - Near North Side,3349,,2007,1,702,2792,Active,,,http://www.redfin.com/IL/Chicago/30-W-Oak-St-60610/unit-7A/home/18924584,MRED,11267550,N,Y,41.9008046,-87.6294752
Redfin Data,,Single Family Residential,2935 N Merrimac Ave,Chicago,IL,60634,245900,2,1,Chicago,1050,3720,1923,1,234,,Pre On-Market,,,http://www.redfin.com/IL/Chicago/2935-N-Merrimac-Ave-60634/home/13438133,Coming Soon,78602,N,Y,41.9339238,-87.7818096
Redfin Data,,Multi-Family (2-4 Unit),3904 N Newland Ave,Chicago,IL,60634,425000,4,2,Chicago,2351,3750,1921,1,181,,Pre On-Market,,,http://www.redfin.com/IL/Chicago/3904-N-Newland-Ave-60634/home/13470744,Coming Soon,78600,N,Y,41.9510819,-87.8000978
MLS Listing,,Condo/Co-op,230 E Ontario St #2301,Chicago,IL,60611,186000,1,1,CHI - Near North Side,875,,1969,1,213,778,Active,,,http://www.redfin.com/IL/Chicago/230-E-Ontario-St-60611/unit-2301/home/14097034,MRED,11267532,N,Y,41.8936581,-87.6212229
MLS Listing,,Vacant Land,314 S California Ave,Chicago,IL,60612,145000,,,CHI - East Garfield Park,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/314-S-California-Ave-60612/home/65624157,MRED,11267531,N,Y,41.876895,-87.69653
MLS Listing,,Condo/Co-op,440 N Wabash Ave #4911,Chicago,IL,60611,295000,1,1,Plaza 440 Private Residences,807,,1992,1,366,525,Active,,,http://www.redfin.com/IL/Chicago/440-N-Wabash-Ave-60611/unit-4911/home/12599436,MRED,11267527,N,Y,41.8903291,-87.6269895
MLS Listing,,Multi-Family (2-4 Unit),8339 S Marquette Ave,Chicago,IL,60649,305000,6,2,CHI - South Chicago,,,1928,1,,,Active,,,http://www.redfin.com/IL/Chicago/8339-S-Marquette-Ave-60617/home/13214328,MRED,11267521,N,Y,41.7433867,-87.5584732
MLS Listing,,Townhouse,6334 S Lockwood Ave,Chicago,IL,60638,244900,3,2,CHI - Clearing,988,,1946,1,248,,Active,,,http://www.redfin.com/IL/Chicago/6334-S-Lockwood-Ave-60638/home/13995484,MRED,11267525,N,Y,41.777233,-87.754677
MLS Listing,,Single Family Residential,8617 S Lowe Ave,Chicago,IL,60620,189500,5,2,CHI - Auburn Gresham,2518,4656,1910,1,75,,Active,,,http://www.redfin.com/IL/Chicago/8617-S-Lowe-Ave-60620/home/13225542,MRED,11267513,N,Y,41.7372872,-87.6397868
MLS Listing,,Multi-Family (2-4 Unit),7633 S Cornell Ave,Chicago,IL,60649,275000,4,2,CHI - South Shore,,,1924,1,,,Active,,,http://www.redfin.com/IL/Chicago/7633-S-Cornell-Ave-60649/home/13924018,MRED,11267509,N,Y,41.7559579,-87.5842815
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #314,Chicago,IL,60613,200000,2,1,CHI - Lake View,849,,1975,1,236,592,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-314/home/12667400,MRED,11267504,N,Y,41.9543355,-87.6469625
MLS Listing,,Single Family Residential,7606 S Paulina St,Chicago,IL,60620,239900,5,2,CHI - Auburn Gresham,1056,3750,1940,1,227,,Active,November-13-2021 11:00 AM,November-13-2021 02:00 PM,http://www.redfin.com/IL/Chicago/7606-S-Paulina-St-60620/home/13911000,MRED,11267507,N,Y,41.7554716,-87.6663006
MLS Listing,,Condo/Co-op,2506 W Hollywood Ave #1,Chicago,IL,60659,149900,1,1,CHI - West Ridge,900,,1931,1,167,245,Active,,,http://www.redfin.com/IL/Chicago/2506-W-Hollywood-Ave-60659/unit-1/home/12707235,MRED,11267493,N,Y,41.9851158,-87.6923755
MLS Listing,,Single Family Residential,8011 S Emerald Ave,Chicago,IL,60620,164900,3,1,CHI - Auburn Gresham,900,3123,1967,1,183,,Active,,,http://www.redfin.com/IL/Chicago/8011-S-Emerald-Ave-60620/home/13227403,MRED,11267497,N,Y,41.74846,-87.6425622
MLS Listing,,Vacant Land,324 S California Ave,Chicago,IL,60612,255000,,,CHI - East Garfield Park,,3049,,1,,,Active,,,http://www.redfin.com/IL/Chicago/324-S-California-Ave-60612/home/146335765,MRED,11267494,N,Y,41.8766192,-87.696523
MLS Listing,,Condo/Co-op,41 E 8th St #1207,Chicago,IL,60605,395000,2,2,CHI - Loop,1300,,2003,1,304,740,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/41-E-8th-St-60605/unit-1207/home/12680447,MRED,11262220,N,Y,41.8717102,-87.6263215
MLS Listing,,Vacant Land,4507 N Kedzie Ave N,Chicago,IL,60625,3800000,,,CHI - Albany Park,,27442,,1,,,Active,,,http://www.redfin.com/IL/Chicago/4507-N-Kedzie-Ave-60625/home/170017474,MRED,11267477,N,Y,41.9633998,-87.7081017
MLS Listing,,Single Family Residential,6458 S Lamon Ave,Chicago,IL,60638,339900,3,2,CHI - Clearing,1198,3654,1989,1,284,,Active,,,http://www.redfin.com/IL/Chicago/6458-S-Lamon-Ave-60638/home/13994349,MRED,11267472,N,Y,41.7748401,-87.7448938
MLS Listing,,Condo/Co-op,811 W Eastwood Ave #401,Chicago,IL,60640,249900,2,2,CHI - Uptown,1088,,1917,1,230,403,Active,November-13-2021 02:00 PM,November-13-2021 04:00 PM,http://www.redfin.com/IL/Chicago/811-W-Eastwood-Ave-60640/unit-401/home/12621855,MRED,11267468,N,Y,41.9661377,-87.6506559
MLS Listing,,Single Family Residential,2717 W Jarvis Ave,Chicago,IL,60645,410000,3,1.5,CHI - West Ridge,1581,3720,1952,1,259,,Active,,,http://www.redfin.com/IL/Chicago/2717-W-Jarvis-Ave-60645/home/13601981,MRED,11267460,N,Y,42.015528,-87.6980248
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #3817,Chicago,IL,60613,249000,1,1,CHI - Lake View,840,,1973,1,296,650,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-3817/home/12683125,MRED,11267451,N,Y,41.9543355,-87.6469625
MLS Listing,,Multi-Family (2-4 Unit),1246 W Ohio St,Chicago,IL,60642,950000,9,6,CHI - West Town,,,1890,1,,,Active,,,http://www.redfin.com/IL/Chicago/1246-W-Ohio-St-60642/home/14102983,MRED,11267449,N,Y,41.8927037,-87.6592401
MLS Listing,,Condo/Co-op,401 E Ontario St #4204,Chicago,IL,60611,305000,1,1,CHI - Near North Side,775,,1990,1,394,657,Active,,,http://www.redfin.com/IL/Chicago/401-E-Ontario-St-60611/unit-4204/home/12765469,MRED,11267454,N,Y,41.893214,-87.6169215
MLS Listing,,Multi-Family (2-4 Unit),3240 W Polk St,Chicago,IL,60624,259000,8,3,CHI - East Garfield Park,,3049,1903,1,,,Active,,,http://www.redfin.com/IL/Chicago/3240-W-Polk-St-60624/home/13257462,MRED,11267445,N,Y,41.871206,-87.707439
MLS Listing,,Single Family Residential,10633 S Vernon Ave S,Chicago,IL,60628,254900,3,2,CHI - Roseland,1500,3781,1949,1,170,,Active,,,http://www.redfin.com/IL/Chicago/10633-S-Vernon-Ave-60628/home/13079720,MRED,11267440,N,Y,41.7008671,-87.612139
MLS Listing,,Condo/Co-op,4435 S Oakenwald Ave #4,Chicago,IL,60653,659000,3,2,CHI - Kenwood,3400,,2005,1,194,328,Active,,,http://www.redfin.com/IL/Chicago/4435-S-Oakenwald-Ave-60653/unit-4/home/18916778,MRED,11267434,N,Y,41.8144449,-87.5954343
MLS Listing,,Condo/Co-op,1542 W Diversey Pkwy #2,Chicago,IL,60614,369000,2,2,CHI - Lake View,1200,,1997,1,308,173,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1542-W-Diversey-Pkwy-60614/unit-2/home/13363715,MRED,11267426,N,Y,41.932608,-87.6676001
MLS Listing,,Condo/Co-op,1030 N State St Unit 52H,Chicago,IL,60610,595000,2,2,CHI - Near North Side,1500,,1970,1,397,1035,Active,,,http://www.redfin.com/IL/Chicago/1030-N-State-St-60610/unit-52H/home/14110795,MRED,11267423,N,Y,41.9015297,-87.6286369
MLS Listing,,Condo/Co-op,1408 W Catalpa Ave #1,Chicago,IL,60640,299000,2,1,CHI - Edgewater,,,1915,1,,325,Active,November-13-2021 11:00 AM,November-13-2021 12:30 PM,http://www.redfin.com/IL/Chicago/1408-W-Catalpa-Ave-60640/unit-1/home/40375280,MRED,11267430,N,Y,41.9818863,-87.6652194
MLS Listing,,Multi-Family (2-4 Unit),5111 S Union Ave,Chicago,IL,60609,150000,7,2,CHI - New City,,,1896,1,,,Active,,,http://www.redfin.com/IL/Chicago/5111-S-Union-Ave-60609/home/13951930,MRED,11267429,N,Y,41.8012227,-87.6426875
MLS Listing,,Condo/Co-op,5455 N Sheridan Rd #405,Chicago,IL,60640,105000,0,1,CHI - Edgewater,600,,1972,1,175,363,Active,,,http://www.redfin.com/IL/Chicago/5455-N-Sheridan-Rd-60640/unit-405/home/13400763,MRED,11267420,N,Y,41.9817637,-87.6547271
MLS Listing,,Condo/Co-op,1402 W North Shore Ave Unit 1E,Chicago,IL,60626,199900,2,1.5,CHI - Rogers Park,,,1958,1,,345,Active,November-14-2021 01:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1402-W-North-Shore-Ave-60626/unit-1E/home/13083684,MRED,11267411,N,Y,42.0037815,-87.6660856
MLS Listing,,Single Family Residential,5808 S Newcastle Ave,Chicago,IL,60638,269900,3,2,CHI - Garfield Ridge,1004,4159,1956,1,269,,Active,,,http://www.redfin.com/IL/Chicago/5808-S-Newcastle-Ave-60638/home/13999419,MRED,11267404,N,Y,41.7863631,-87.7928757
MLS Listing,,Condo/Co-op,1655 N Humboldt Blvd Unit 1R,Chicago,IL,60647,227000,2,1,CHI - West Town,,,,1,,155,Active,,,http://www.redfin.com/IL/Chicago/1655-N-Humboldt-Blvd-60647/unit-1R/home/167550027,MRED,11267400,N,Y,41.9118514,-87.7012691
MLS Listing,,Condo/Co-op,1728 N Wilmot Ave Unit 1W,Chicago,IL,60647,530000,3,2.5,CHI - West Town,1734,,,1,306,253,Active,,,http://www.redfin.com/IL/Chicago/1728-N-Wilmot-Ave-60647/unit-1W/home/12608750,MRED,11267396,N,Y,41.9129858,-87.6803263
MLS Listing,,Single Family Residential,2713 N Campbell Ave,Chicago,IL,60647,1400000,5,3.5,CHI - Logan Square,,3149,2021,1,,,Active,,,http://www.redfin.com/IL/Chicago/2713-N-Campbell-Ave-60647/home/13449888,MRED,11267385,N,Y,41.9308006,-87.6899817
MLS Listing,,Single Family Residential,2727 N Moody Ave,Chicago,IL,60639,265000,4,2,CHI - Belmont Cragin,800,4216,1949,1,331,,Active,,,http://www.redfin.com/IL/Chicago/2727-N-Moody-Ave-60639/home/12556780,MRED,11267387,N,Y,41.9301178,-87.7792733
MLS Listing,,Condo/Co-op,4518 W Wellington Ave Unit 4518-2,Chicago,IL,60641,149900,2,1,CHI - Hermosa,875,,1928,1,171,178,Active,,,http://www.redfin.com/IL/Chicago/4518-W-Wellington-Ave-60641/unit-4518-2/home/177156641,MRED,11267388,N,Y,41.9354449,-87.7402407
MLS Listing,,Condo/Co-op,1550 N Clark St #302,Chicago,IL,60610,1500000,2,2.5,CHI - Near North Side,2477,,2020,1,606,1516,Active,,,http://www.redfin.com/IL/Chicago/1550-N-Clark-St-60610/unit-302/home/147616649,MRED,11267393,N,Y,41.9109282,-87.6319169
MLS Listing,,Single Family Residential,2640 N Hamlin Ave,Chicago,IL,60647,415000,5,2,CHI - Logan Square,1907,,1903,1,218,,Active,November-13-2021 11:00 AM,November-13-2021 12:30 PM,http://www.redfin.com/IL/Chicago/2640-N-Hamlin-Ave-60647/home/13447955,MRED,11266110,N,Y,41.9294691,-87.7222449
MLS Listing,,Single Family Residential,2418 N Campbell Ave,Chicago,IL,60647,1450000,5,3.5,CHI - Logan Square,,,2021,1,,,Active,,,http://www.redfin.com/IL/Chicago/2418-N-Campbell-Ave-60647/home/13450552,MRED,11267380,N,Y,41.9255419,-87.6903732
MLS Listing,,Condo/Co-op,70 W Burton Pl Unit 1801F,Chicago,IL,60610,209900,1,1,CHI - Near North Side,750,,1967,1,280,667,Active,,,http://www.redfin.com/IL/Chicago/70-W-Burton-Pl-60610/unit-1801F/home/14114116,MRED,11267382,N,Y,41.9096149,-87.63123
MLS Listing,,Multi-Family (2-4 Unit),7950 S Marshfield Ave,Chicago,IL,60620,310000,4,2,Gresham,,3920,1919,1,,,Active,,,http://www.redfin.com/IL/Chicago/7950-S-Marshfield-Ave-60620/unit-1/home/13908569,MRED,11267370,N,Y,41.7488357,-87.6648366
MLS Listing,,Condo/Co-op,815 W Superior St #3,Chicago,IL,60642,449500,2,2,CHI - West Town,1500,,1997,1,300,252,Active,,,http://www.redfin.com/IL/Chicago/815-W-Superior-St-60642/unit-3/home/12725052,MRED,11267372,N,Y,41.8953049,-87.6485231
MLS Listing,,Single Family Residential,5436 S Keeler Ave,Chicago,IL,60632,240000,2,1,CHI - West Elsdon,1116,5039,1944,1,215,,Active,November-13-2021 12:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/5436-S-Keeler-Ave-60632/home/14021547,MRED,11267374,N,Y,41.7938857,-87.7283242
MLS Listing,,Single Family Residential,4922 W Walton St,Chicago,IL,60651,325000,4,2.5,CHI - Austin,1700,,1916,1,191,,Active,,,http://www.redfin.com/IL/Chicago/4922-W-Walton-St-60651/home/13278793,MRED,11267359,N,Y,41.897981,-87.749323
MLS Listing,,Single Family Residential,4848 W Berteau Ave,Chicago,IL,60641,799900,6,4,CHI - Portage Park,4231,6250,1936,1,189,,Active,,,http://www.redfin.com/IL/Chicago/4848-W-Berteau-Ave-60641/home/13478019,MRED,11267337,N,Y,41.9572653,-87.7494029
MLS Listing,,Condo/Co-op,3550 N Lake Shore Dr #1821,Chicago,IL,60657,179900,1,1,CHI - Lake View,873,,1962,1,206,572,Active,,,http://www.redfin.com/IL/Chicago/3550-N-Lake-Shore-Dr-60657/unit-1821/home/13378889,MRED,11267322,N,Y,41.9480112,-87.6438535
MLS Listing,,Condo/Co-op,2545 S Dearborn St #404,Chicago,IL,60616,310000,2,2,Opera Lofts,1102,,1909,1,281,305,Active,November-13-2021 11:00 AM,November-13-2021 01:00 PM,http://www.redfin.com/IL/Chicago/2545-S-Dearborn-St-60616/unit-404/home/113096965,MRED,11267316,N,Y,41.8464499,-87.6278148
